,parent_fen,child_fen,move,parent_score,child_score,difference
477,r3r1k1/3Q1ppp/1p6/3p4/N2Np1n1/P3P1K1/1B1P1PPq/2R2R2 w - - 3 23,r3r1k1/3Q1ppp/1p6/3p4/N2Np1K1/P3P3/1B1P1PPq/2R2R2 b - - 0 23,g3g4,-1.0,-0.93491,0.06508999999999998
478,r1b3k1/2N1n1bp/p2p1n2/R2Pp3/1PP1Pp2/3N1Pp1/4BBP1/3QRK1q w - - 4 27,r1b3k1/2N1n1bp/p2p1n2/R2Pp3/1PP1Pp2/3N1Pp1/4B1P1/3QRKBq b - - 5 27,f2g1,-1.0,-0.93492,0.06508000000000003
479,4rk2/Q4R2/p4P1p/P3p1p1/4q3/7P/6PK/8 b - - 0 36,4r1k1/Q4R2/p4P1p/P3p1p1/4q3/7P/6PK/8 w - - 1 37,f8g8,-1.0,-0.93493,0.06506999999999996
480,7k/6p1/7p/3P4/3R4/1P6/6PP/2rQq2K w - - 7 36,7k/6p1/7p/3P4/3R4/1P6/6PP/2r1Q2K b - - 0 36,d1e1,-1.0,-0.93496,0.06503999999999999
481,2r4k/1R4pp/2Np1B2/3P1p2/5P2/1P6/4p1PP/Q2q3K w - - 1 35,2r4k/1R4pp/2Np1B2/3P1p2/5P2/1P6/4p1PP/3Q3K b - - 0 35,a1d1,-1.0,-0.93499,0.06501000000000001
484,rq2r1k1/1b3ppQ/p3p1n1/1p4B1/8/7R/PP3PPP/4R1K1 b - - 3 23,rq2rk2/1b3ppQ/p3p1n1/1p4B1/8/7R/PP3PPP/4R1K1 w - - 4 24,g8f8,-1.0,-0.93504,0.06496000000000002
483,r1rq1n2/pp4Q1/7k/3p4/3P4/2b4P/PP3P2/1K4R1 b - - 7 29,r1rq1n2/pp4Q1/8/3p3k/3P4/2b4P/PP3P2/1K4R1 w - - 8 30,h6h5,-1.0,-0.93504,0.06496000000000002
482,4r1k1/p1p2p1P/5q1Q/3b4/7R/4P1P1/6PK/1r6 b - - 0 33,4r2k/p1p2p1P/5q1Q/3b4/7R/4P1P1/6PK/1r6 w - - 1 34,g8h8,-1.0,-0.93504,0.06496000000000002
486,8/5p1p/2P1pP1k/1p2P1pP/6P1/1p6/1B2K3/8 b - - 0 47,8/5p1p/2P1pP1k/4P1pP/1p4P1/1p6/1B2K3/8 w - - 0 48,b5b4,-1.0,-0.93507,0.06493000000000004
485,6k1/5ppp/p7/1p6/2PR1P2/1B5P/PPP5/RK2q3 w - - 1 28,6k1/5ppp/p7/1p6/2P2P2/1B5P/PPP5/RK1Rq3 b - - 2 28,d4d1,-1.0,-0.93509,0.06491000000000002
488,6k1/7p/Q5p1/p2qR3/1p1p2P1/1P3rKP/P1P1Rr2/8 w - - 3 39,6k1/7p/Q5p1/p2qR3/1p1p2PK/1P3r1P/P1P1Rr2/8 b - - 4 39,g3h4,-1.0,-0.9351,0.06489999999999996
487,2k5/pp5p/7Q/3p1p2/8/1P6/P1P1RPPP/3q2K1 w - - 1 30,2k5/pp5p/7Q/3p1p2/8/1P6/P1P2PPP/3qR1K1 b - - 2 30,e2e1,-1.0,-0.93516,0.06484000000000001
489,3Rr1k1/pp5p/2p3p1/2P2p2/8/1PN2q2/PB3Qbb/R5K1 w - - 2 30,3Rr1k1/pp5p/2p3p1/2P2p2/8/1PN2q2/PB3QbK/R7 b - - 0 30,g1h2,-1.0,-0.9352,0.06479999999999997
