CONFIGURATION:
experiment file = experiments/transformation_invariance_testing.py
git branch = main
git commit hash = 6a88ef0c1b72cfb62fd7eeddc4d7ce3bd1faea6f
uncommitted changes = True
seed = 42
engine_config_name = local_400_nodes.ini
data_config_name = mirror_experiment_most_important_fens.ini
remove_pawns = False
num_positions = 1000
network_path = T807785-b124efddc27559564d6464ba3d213a8279b7bd35b1cbfcf9c842ae8053721207
transformations = ['mirror']
queue_max_size = 100000
num_engine_workers = 2
result_subdir = 

fen,original,mirror
b4rk1/5p1p/1q2p3/3p1nPP/p1pP4/P1P1nB2/8/R1Q2NRK b - - 1 34,-0.7466802121526933,-0.6077412270022108
R1b1rrk1/2p2ppp/1b6/1p4N1/5B2/1BPn2P1/1P3P1P/5RK1 w - - 4 23,-0.3978419957234422,-0.259794102595233
5rk1/4n1p1/7p/1p2ppq1/2p1Pn2/2P2PNP/1PQR3K/R7 w - - 4 38,-0.19957011729583035,-0.3373469856532258
5r2/pppk3p/2nbRpq1/2PN4/5p2/5N1P/PP2QPP1/7K b - - 0 28,-0.24514167851707994,-0.10784684857514161
6k1/pp2q2p/1np5/6N1/4PrbP/2Q5/PP6/2R1K1R1 w - - 4 30,0.5175847544842258,0.6547210127244821
r1b1r1k1/7p/1pp2Bp1/p7/1bP2PnN/1P1pP2P/P2N4/3RR1K1 w - - 0 29,0.4737136295350062,0.3373469856532258
1r2k2r/p1p1bppp/1n6/3b4/P1p1B3/5QPq/1P3P1P/RNB1R1K1 b k - 1 18,-0.20474784041099475,-0.06850289625109608
2kr4/pPp3pp/3rbp2/4p1q1/1P6/2PBR3/P1Q2PPP/4R1K1 b - - 0 19,-0.3902017078923153,-0.2549410248700909
2r1r3/p4kbp/8/5p2/3pb1pP/6B1/PPP1R1P1/3RN1K1 b - - 7 24,0.6191063392366816,0.7527534365001224
r5k1/pp1b1r2/2pq3p/3p1p2/5NnQ/2P3R1/PPB3PP/5RK1 b - - 9 22,-0.2741639421760361,-0.14093947857306693
r3r1k1/2q2ppp/2n2n2/2p5/1pP2Pb1/4B1QP/PPB1N1P1/R3R1K1 b - - 0 20,-0.18387610174764402,-0.051463025001402936
3r2k1/pp3ppp/4bn2/8/2qp4/3R1PP1/P2Q3P/3R1BK1 b - - 1 28,-0.32871807718748874,-0.4609876690754385
5rrk/3bb1qp/p2p4/2pPp3/1pP2P2/1P2R1PP/PB2Q2K/R5N1 b - - 3 33,-0.6467846269112693,-0.5148396207365966
2kr3r/2b1qp1p/p3pp2/nb2P2Q/2pP4/1p2BN2/1P3PPP/1BR2RK1 b - - 0 23,0.25005679247727275,0.11895159856359194
5N2/1k1r2pp/1ppp1p2/4nP2/1P2P3/2P3Q1/1PqB2PP/4KR2 b - - 4 28,-0.43760262013719814,-0.30656367069888874
8/ppb1r1Rk/4q2p/2P2b2/1PPR3Q/P3pB1P/8/4B2K b - - 0 45,0.28824523693805437,0.15721432458376025
r5k1/2q2pb1/2N1p2p/1p1p2p1/1P6/2PR1QP1/2r2PP1/4R1K1 w - - 5 36,-0.9218314378915807,-0.7911852972831408
8/1b2R3/4p3/pk1qP3/1p4Q1/1P1r4/P1r3PP/6RK w - - 2 43,-0.9665338971233981,-0.8376335715018373
4r1k1/p1p2rp1/1p1bp3/7Q/3P4/2P1q3/PP1N2R1/2K3R1 b - - 1 28,-0.3020333792059105,-0.17328442191392796
1r5k/3bnr1p/pn3p2/1p1p1P2/4pN1Q/1Pq5/P1N1B1PP/2R2R1K w - - 4 30,0.22517850425063135,0.09667619375249936
r3r1k1/pqnRbp1p/1p2p1p1/2p1P1B1/2B1N3/4P3/PPQ2PPP/6K1 b - - 6 22,-0.7336699645383301,-0.6057904204214342
5qrk/8/p7/2R1p1r1/6Bp/1P2nP1n/P6Q/1R2B2K w - - 3 44,0.2741639421760361,0.146386127634144
5r1k/3p3p/pbp1q1p1/1p1n1N2/4N1P1/6Q1/P4PP1/4R1K1 w - - 4 36,-0.5676537285098876,-0.6951148882364536
2b2r2/p2pk3/2p2p1p/2b1p2q/5Q2/3B2P1/P1P2P1P/1R2R1K1 w - - 0 22,0.40906205528121764,0.5361291709629962
5r1k/p1p2rpq/1p2Q2b/7R/3P4/1KP5/PP1N4/6R1 w - - 1 35,0.7484433812151391,0.8752251563888714
